Bussines Type,Bussines Name,Bussines Description,Bussines Address,Bussines Hours ,Bussines Phone ,Bussines Website ,Bussines Rating,Bussines Reviews
Gym,Star gym,Not Available,"PXCP+5GF, Mohalla Jhimpir, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Open 24 hours,+92 348 5563478,Not Available,2.5,2
Gym,Shinkyokushin Karate Second Time Class.,Not Available,"PXMV+R5X, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 5 PM,+92 340 5957435,Not Available,5,4
Gym,Relax zone beauty saloon and fittness center,Not Available,"PXCH+MXV, Kalar Kahar Rd, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 9 AM,+92 345 9828866,Not Available,Not Available,Not Available
Gym,Royal GYM,Not Available,"PVGJ+P8V, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Not Available,+92 340 5763264,Not Available,Not Available,Not Available
Gym,Tennis Court,Not Available,"J2Q8+M3W, ICI Officer Colony Rd, ICI Officers Colony Khewra, Jhelum, Punjab, Pakistan",Open 24 hours,+971 50 789 3122,Not Available,4.7,3
Gym,Badminton Court,Not Available,"PX8P+6Q7, Mateen Mohalla, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
Gym,Askari Fitness Zone,Not Available,"QPM3+63R, Akari Cadet Collage, Kacha Pakka, Kallar Kahar, Chakwal, Punjab, Pakistan",Open 24 hours,+92 334 5018743,Not Available,5,2
Gym,Wanhar Fitness Club,Not Available,"PM45+QJR, Khushab Road, Kallar Kahar, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 8 AM,+92 334 4334494,Not Available,5,4
Gym,Arnold Gym Club,Not Available,"VQ66+5QF, Road, Bhaun, Chakwal, Punjab 48520, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
Gym,Chabber,Not Available,"RJJ8+V2Q, Hattar, Chakwal, Punjab, Pakistan",Not Available,+92 348 5608598,Not Available,Not Available,Not Available
Gym,Ajaz Minhas Agriculture,Not Available,"Malicks Road, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,5,1
Gym,Body Works,Not Available,"WVJ6+54Q, Hospital Rd, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 4 AM,+92 332 0533934,Not Available,5,4
Gym,NAWAB KHAIL STADIUM,Not Available,"WQ9V+JVF, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,4.5,2
Personal trainer,Fitness Trainer Chakwal,Not Available,"Opposite Tehsil Office Zila Council Plaza Tehsil Chowk, Chakwal, Punjab 48800, Pakistan",Not Available,+92 310 5912866,Not Available,Not Available,Not Available
Physical therapy clinic,Tafazal Physiotherapy Clinic kallar kahar,Not Available,"Chakwal Road, Kallar Kahar, Chakwal, Punjab 48530, Pakistan",Closed ⋅ Opens 8 AM,+92 311 0159069,https://tafazal-physiotherapy-clinic-kallar-kahar.business.site/?utm_source=gmb&utm_medium=referral,5,2
School,Askari Cadet College Kallar Kahar,Not Available,"QMMR+MCV, Mohalla Mohra, Kallar Kahar, Chakwal, Punjab, Pakistan",Open 24 hours,+92 333 5111185,http://askaricadetcollege.edu.pk/,4.2,25
Mosque,Eid gah bhaun,Not Available,"VQ34+R24, Kallar Kahar Road, Bhaun, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,5,3
Gym,Get Fit Pakistan,Not Available,"3rd Floor, Vogue Towers, MM Alam Rd, Block C 2 Gulberg III, Lahore, Punjab 54000, Pakistan",Closed ⋅ Opens 10 AM,+92 320 5656910,http://www.getfituae.com/,4.2,31
Market,Haji Buland khan Market,Not Available,"VQ66+4PR, Bhaun, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 8 AM,Not Available,Not Available,3.7,3
Gym,Atmosphere Fitness Pvt. Ltd.,Not Available,"Old Queens Road, off I.I Chundrigar Rd, City Railway Colony, Karachi, Karachi City, Sindh, Pakistan",Closed ⋅ Opens 7 AM,+92 21 32400201,http://www.atmosphere.com.pk/,4.7,235
