Bussines Type,Bussines Name,Bussines Description,Bussines Address,Bussines Hours ,Bussines Phone ,Bussines Website ,Bussines Rating,Bussines Reviews
Gym,Get Smart Gym Mochi Mor,Not Available,"Plot#C-11, near Mochi Mor, Block 13D Block 13 D Gulshan-e-Iqbal, Karachi, Karachi City, Sindh, Pakistan",Closed ⋅ Opens 6:30 AM,+92 21 33383378,http://www.chainofgetsmartgym.com/,4.7,19
Wholesaler,Royaltags9,Not Available,"Tehsil & District, Chakwal, 48700, Pakistan",Not Available,+92 340 9587680,https://www.royaltags9.com/,Not Available,Not Available
Shopping mall,"Utility Store, Miani Adda",Not Available,"Khushab Road, Miani Adda, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 8 AM,Not Available,http://www.usc.org.pk/,3.7,28
Sportswear store,Gym Armour,Not Available,"91-G3, Lahore, Pakistan",Closed ⋅ Opens 10 AM Mon,+92 313 8466444,http://www.gymarmour.co/,3.7,26
Place of worship,Masjid Shehawali Moh Kot,Not Available,"VQ54+4MC, Bhaun, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
Gas station,Zohaib gas agency,Not Available,"VQ66+6MW, Bhaun, Chakwal, Punjab, Pakistan",Not Available,+92 342 5001439,Not Available,5,2
Mosque,Jamia Majid aqsa ehlehdes,Not Available,"VQ64+X6P, Mohalla Islamabad Rd, Bhaun, Chakwal, Punjab, Pakistan",Not Available,+92 311 6521004,Not Available,Not Available,Not Available
Gym,Jane's Gym Fitness For Women,Not Available,"4850 Goodman Rd, Olive Branch, MS 38654",Closes soon ⋅ 3 PM ⋅ Opens 8 AM Sat,(662) 893-5263,http://www.janesgym.com/,4.5,151
Repair service,Master of Fitness Equipment,Not Available,"Madina Town, Bharaku, Islamabad, Islamabad Capital Territory 46010, Pakistan",Closed ⋅ Opens 9 AM,+92 300 9855546,http://www.mfitnessequipment.com/,5,17
Fitness center,Ithaca College Fitness Center,Not Available,"Ithaca, NY 14850",Open ⋅ Closes 8 PM,(607) 274-3399,http://www.ithaca.edu/sacl/recsports/fitnesscenter/,4.7,23
Gym,PWRBLD Gym,Not Available,"544 E Elm St, Conshohocken, PA 19428",Open 24 hours,(484) 231-1252,http://pwrbldgym.com/,4.9,180
Gym,Cecil Garcia Fitness Center,Not Available,"700 Old Zuni Rd, Gallup, NM 87301",Open ⋅ Closes 8 PM,(505) 722-7271,http://www.gallupnm.gov/index.aspx?NID=202,4.3,70
Gym,Gymies Fitness Center,Not Available,"47 W Jackson St, Cicero, IN 46034",Open 24 hours,(317) 984-3399,http://www.gymiesfitness.com/,4.9,25
Gym,Elev8 Gym,Not Available,"11160 Rojas Dr, El Paso, TX 79935",Open ⋅ Closes 9 PM,(915) 591-6000,http://elev8gym.com/,4.6,88
Gym,Takedown Gym,Not Available,"17192 MN-371, Brainerd, MN 56401",Open ⋅ Closes 7 PM,(218) 454-1770,http://www.takedowngym.com/,4.9,90
Gym,World Gym,Not Available,"9481Princeton, Glendale Road, Hamilton, OH 45011",Open 24 hours,(513) 790-6168,https://www.worldgym.com/westchester/?utm_source=GMB&utm_medium=organic&utm_campaign=Hamilton,4.7,164
Gym,Buckley Fitness Center,Not Available,"Aurora, CO 80011",Open ⋅ Closes 9 PM,(720) 847-6679,https://www.460fss.com/fitness-center/,4.4,155
Gym,Santa Fe Health & Fitness,"Members-only gym for fitness & bootcamps. Traditional, members-only gym offering fitness bootcamp & group classes, plus personal training.","2008 St Michaels Dr, Santa Fe, NM 87505",Open ⋅ Closes 7 PM,(505) 795-7742,http://nmsportsfitness.com/,4.6,84
Gym,Gaffney Fitness Center,Not Available,"6330 Broad Foot Rd, Fort Meade, MD 20755",Open ⋅ Closes 7 PM,(301) 677-3716,https://meade.armymwr.com/programs/gaffney-fitness-center,4.2,400
Fitness center,The Gym Ramona,Not Available,"558 Main St, Ramona, CA 92065",Open ⋅ Closes 10:30 PM,(760) 789-3500,http://www.ramonafitness.com/,4.4,83
