Bussines Type,Bussines Name,Bussines Description,Bussines Address,Bussines Hours ,Bussines Phone ,Bussines Website ,Bussines Rating,Bussines Reviews
Community center,The 14th Street Y,Not Available,"344 E 14th St, New York, NY 10003",Open ⋅ Closes 9 PM,(212) 780-0800,http://www.14streety.org/,4.4,255
Gym,Dodge Physical Fitness Center,Not Available,"3030 Broadway, New York, NY 10027",Open ⋅ Closes 10 PM,(212) 854-7149,https://perec.columbia.edu/,3.3,224
Gym,50 Haven Athletic Center,Not Available,"50 Haven Ave LL3, New York, NY 10032",Open ⋅ Closes 8 PM,(212) 304-7010,https://www.cumc.columbia.edu/facilities-management/campus-services/bard-athletic-center?utm_medium=referral&utm_source=google&utm_campaign=google-business-bac,4,21
Gym,Dillon Gymnasium,Not Available,"Elm Dr, Princeton, NJ 08540",Open ⋅ Closes 10 PM,(609) 258-1647,https://www.princeton.edu/campusrec/dillon-gym/,4.6,87
Gym,TWA Fitness,Not Available,"John F. Kennedy International Airport, One Idlewild Dr, Queens, NY 11430",Not Available,(212) 806-9000,https://www.twahotel.com/fitness-center,4.9,27
Physical fitness program,HNH Fitness,"Members-only gym & spa with childcare. Fitness facility at Holy Name Medical Center featuring group classes, a day spa & childcare center.","514 Kinderkamack Rd, Oradell, NJ 07649",Open ⋅ Closes 9 PM,(201) 262-4626,http://www.hnhfitness.com/,4.4,57
Fitness center,Fitness Incentive,Not Available,"157 Deer Pk Ave, Babylon, NY 11702",Open ⋅ Closes 8 PM,(631) 587-5766,https://www.fitnessincentive.com/,4.1,39
Gym,Gold's Gym,Not Available,"1 N Galleria Dr, Middletown, NY 10941",Open ⋅ Closes 11 PM,(845) 692-4200,http://www.goldsgym.com/middletown-ny,4.7,81
Gym,New York Sports Clubs - White Plains City Center,Not Available,"4 City Pl, White Plains, NY 10601",Open ⋅ Closes 9 PM,(914) 428-2020,https://www.newyorksportsclubs.com/clubs/white-plains-city-center,3.4,284
Gym,My Gym Children's Fitness Center Stamford,Not Available,"7 Hyde St, Stamford, CT 06907",Closed ⋅ Opens 9:15 AM Sat,(203) 327-3496,http://www.mygym.com/stamford,4.8,59
Gym,All My Gym,Not Available,"Rue de la Coulebart, 22100 Dinan, France",Open 24 hours,+33 6 75 84 72 59,https://www.facebook.com/AllMyGym,4.5,51
Gymnasium school,Payne Whitney Gymnasium,Not Available,"70 Tower Pkwy, New Haven, CT 06511",Open ⋅ Closes 11 PM,(203) 432-1444,https://sportsandrecreation.yale.edu/payne-whitney-gym-pwg-hours-operation,4.4,24
