Bussines Type,Bussines Name,Bussines Description,Bussines Address,Bussines Hours ,Bussines Phone ,Bussines Website ,Bussines Rating,Bussines Reviews
Gym,Askari Fitness Zone,Not Available,"QPM3+63R, Akari Cadet Collage, Kacha Pakka, Kallar Kahar, Chakwal, Punjab, Pakistan",Open 24 hours,+92 334 5018743,Not Available,5,2
Gym,Wanhar Fitness Club,Not Available,"PM45+QJR, Khushab Road, Kallar Kahar, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 8 am Sun,+92 334 4334494,Not Available,5,4
Gym,Arnold Gym Club,Not Available,"VQ66+5QF, Road, Bhaun, Chakwal, Punjab 48520, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
Gym,Chabber,Not Available,"RJJ8+V2Q, Hattar, Chakwal, Punjab, Pakistan",Not Available,+92 348 5608598,Not Available,Not Available,Not Available
Restaurant,TDCP Kallar kahar,Not Available,"QP93+RPF, Kallar Kahar, Chakwal, Punjab, Pakistan",Open 24 hours,+92 300 2041742,Not Available,4.2,723
Gym,Ajaz Minhas Agriculture,Not Available,"Malicks Road, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,5,1
Guest house,District Govt Guest House,Not Available,"QM9X+VQG, Kallar Kahar, Chakwal, Punjab, Pakistan",Not Available,+92 333 5928478,Not Available,4.2,32
Gym,NAWAB KHAIL STADIUM,Not Available,"WQ9V+JVF, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,4.5,2
Restaurant,fc Fri Chicks,Not Available,"Service Area North, Motorway M2,, Kallar Kahar, Chakwal, Punjab, Pakistan",Open 24 hours,+92 322 2333104,Not Available,2.5,147
School,Askari Cadet College Kallar Kahar,Not Available,"QMMR+MCV, Mohalla Mohra, Kallar Kahar, Chakwal, Punjab, Pakistan",Open 24 hours,+92 333 5111185,http://askaricadetcollege.edu.pk/,4.2,25
Personal trainer,Fitness Trainer Chakwal,Not Available,"Opposite Tehsil Office Zila Council Plaza Tehsil Chowk, Chakwal, Punjab 48800, Pakistan",Not Available,+92 310 5912866,Not Available,Not Available,Not Available
Restaurant,Shinwari Restaurant,Not Available,"QPJ8+6X4, Lahore-Islamabad Motorway, Kallar Kahar, Chakwal, Punjab, Pakistan",Open 24 hours,+92 347 1792087,Not Available,2.1,7
Shopping mall,"Utility Store, Kallar Kahar Chowk",Not Available,"QPM4+G7W, Chakwal Road, Kallar Kahar, Chakwal, Punjab, Pakistan",Open 24 hours,Not Available,http://www.usc.org.pk/,3.9,161
Mosque,Eid gah bhaun,Not Available,"VQ34+R24, Kallar Kahar Road, Bhaun, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,5,3
Historical landmark,Takht-e-Babri,Not Available,"QMCX+6M9, Kallar Kahar, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 8 am Sun,Not Available,http://www.tdcp.gop.pk/,4.3,842
Gym,Fitnastic Club,Not Available,"P3C5+VWR, Capital Territory, F-7 Markaz F 7 Markaz F-7, Islamabad, Islamabad Capital Territory, Pakistan",Open ⋅ Closes 12 am,+92 51 8312055,Not Available,4.6,75
Gym,NUST Old Gym,Not Available,"JXVV+X6Q, H-12, Islamabad, Islamabad Capital Territory, Pakistan",Closed ⋅ Opens 1 pm Mon,Not Available,http://nust.edu.pk/,4.2,137
Gym,Executive Club,Not Available,"M2R6+FFC, Street 40, F-10/4 F 10/4 F-10, Islamabad, Islamabad Capital Territory, Pakistan",Open ⋅ Closes 12 am,+92 51 8434033,https://www.facebook.com/executiveclub.gym/,4.6,264
Gym,Structure Health & Fitness Gulberg Lahore,Not Available,"39-A Zafar Ali Rd, Gulberg V, Lahore, Punjab 54660, Pakistan",Closed ⋅ Opens 10 am Sun,+92 322 2295555,http://www.structure.com.pk/,4.4,275
Market,Haji Buland khan Market,Not Available,"VQ66+4PR, Bhaun, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 8 am Sun,Not Available,Not Available,3.7,3
Gym,Star gym,Not Available,"PXCP+5GF, Mohalla Jhimpir, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Open 24 hours,+92 348 5563478,Not Available,2.5,2
Gym,Shinkyokushin Karate Second Time Class.,Not Available,"PXMV+R5X, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 5 PM Sun,+92 340 5957435,Not Available,5,4
Gym,Relax zone beauty saloon and fittness center,Not Available,"PXCH+MXV, Kalar Kahar Rd, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 9 AM Sun,+92 345 9828866,Not Available,Not Available,Not Available
Gym,Royal GYM,Not Available,"PVGJ+P8V, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Not Available,+92 340 5763264,Not Available,Not Available,Not Available
Gym,Tennis Court,Not Available,"J2Q8+M3W, ICI Officer Colony Rd, ICI Officers Colony Khewra, Jhelum, Punjab, Pakistan",Open 24 hours,+971 50 789 3122,Not Available,4.7,3
Gym,Badminton Court,Not Available,"PX8P+6Q7, Mateen Mohalla, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
