Bussines Type,Bussines Name,Bussines Description,Bussines Address,Bussines Hours ,Bussines Phone ,Bussines Website ,Bussines Rating,Bussines Reviews
International airport,Skardu International Airport,Not Available,"Airport Rd, Skardu, Gilgit-Baltistan",Not Available,+92 321 6101916,https://caapakistan.com.pk/,4.5,360
Travel agency,syeds air travels,Not Available,"WVM4+4RG, Talagang Hwy, Chakwal, Punjab, Pakistan",Not Available,+92 333 5782009,Not Available,4,2
Auto parts store,Imran Auto Store,Not Available,"PXGQ+85X, Chakwal Rd, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 8AM,+92 346 5763171,Not Available,4.7,6
School,Air Foundation School System,Not Available,"H2VW+7FQ, Kacheri Rd, Mahallah, Kot Kalan Hussainabad, Pind Dadan Khan, Jhelum, Punjab, Pakistan",Closed ⋅ Opens 8AM,+92 544 212457,Not Available,Not Available,Not Available
Travel agency,Pak Travel Center,Not Available,"Office # 2 Ejaz Plaza, Talagang Hwy, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 9:30AM,+92 543 551229,Not Available,5,2
Electronics store,Ruba Digital,Not Available,"PX2P+PVR, road near alfallah bank, Gujjar Market, Choa sedan shah, Chakwal, Pakistan",Not Available,+92 543 579147,Not Available,5,1
Toll booth,Lillah M-2 Toll Plaza South,Not Available,"Interchange, Motorway M2, Lilla, Pind Dadan Khan, Pakistan",Open 24 hours,Not Available,Not Available,4.1,361
Restaurant,AFC Katas / Choa Saidan Shah,Not Available,"PWGV+Q74, Kalar Kahar Rd, Katas, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 10AM,+92 331 5626126,Not Available,4.2,383
Travel agency,Al-Hadi International Travels,Not Available,"Sadwal Plaza, Talagang Rd - Bhon Rd Bypass, Chakwal, Punjab 48800, Pakistan",Closed ⋅ Opens 9AM,+92 333 5924415,https://alhadiinternationaltravels.business.site/?utm_source=gmb&utm_medium=referral,4.8,4
Club,Fly ventures” Microlight & Paraglider trikes flying club,Not Available,"Chok Dhatha Koat, Road Kalar Kahar Rd, Choa Saidan Shah, Chakwal, Punjab 48320, Pakistan",Closed ⋅ Opens 8AM,+92 311 4646373,Not Available,4.6,10
Air conditioning repair service,"Asif & Sons Service Center , Haier , Samsung , Mitsubishi , Orient , Changhongruba",Not Available,"Kot Kalan Pind Dadan Khan, Jhelum, Punjab, Pakistan",Closed ⋅ Opens 9AM,+92 300 5510174,Not Available,5,3
Airport,Rawalakot Airport,Not Available,"RQXX+6JH, Rawalkot, Airport Rd, Azad Jammu and Kashmir",Not Available,Not Available,Not Available,4.2,123
School,Air Grammar School,Not Available,"WVW5+V89, Chakwal, Punjab, Pakistan",Temporarily closed,Not Available,Not Available,Not Available,Not Available
School,Air Foundation School System Khanpur Campus,Not Available,"W367+QWQ, Jhelum Rd, Khanpur Chakwal, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
School,Air Foundation School System Dhudial Campus Chakwal,Not Available,"3XHG+5XR, Jatli Rd, Chakwal, Punjab, Pakistan",Not Available,+92 333 5929209,Not Available,Not Available,Not Available
Travel agency,Raza Air Travel and Tours Pvt Ltd,Not Available,"WVM5+52J, Talagang Hwy, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 9AM,+92 543 601514,Not Available,4,1
Tourist attraction,PAF Aircraft,Not Available,"WRMX+HRV, Chakwal, Punjab, Pakistan",Open 24 hours,Not Available,Not Available,5,2
School,Air Foundation School System,Not Available,"Talagang Hwy, Odherwal, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 8AM,+92 310 5980134,http://airfoundation.com.pk/,4.5,4
Hotel,O Lahore One Hotel,Not Available,"QP95+634, Unnamed Rd, Kallar Kahar,،, Kallar Kahar, Chakwal, Punjab, Pakistan",Not Available,+92 300 4721999,Not Available,4.7,10
Hotel,Mianwali Hotel & Restaurant Kallar Kahar,Not Available,"Mianwali Hotel & Restaurant, Main Khushab Road, near to Kallar Kahar, Kallar Kahar, Chakwal, Punjab 48530, Pakistan",Not Available,+92 336 7440062,https://mianwali-hotel-restaurant-kallar-kahar.business.site/?m=true#details,3.5,26
Hotel,Hotel Grand Imperial,Not Available,"QPH8+47G, Kallar Kahar, Chakwal, Punjab, Pakistan",Not Available,+92 543 588513,Not Available,4,550
Guest house,District Govt Guest House,Not Available,"QM9X+VQG, Kallar Kahar, Chakwal, Punjab, Pakistan",Not Available,+92 333 5928478,Not Available,4.2,32
School,Air Foundation School System Balkassar Campus,Not Available,"Balkasar, Chakwal, Punjab, Pakistan",Not Available,+92 543 569182,Not Available,5,2
Sports club,Paragliding Trike Flying Base,Not Available,"PVMJ+VP4, روڈ, Arar, Chakwal, Punjab, Pakistan",Not Available,+92 310 7353555,Not Available,4.8,8
Restaurant,Zam zam restaurant,Not Available,"Kallar Kahar Service Area South،, Lahore-Islamabad Motorway, Kallar Kahar, Pakistan",Not Available,+92 308 8510057,Not Available,3.5,383
Restaurant,Zam zam restaurant,Not Available,"Kallar Kahar Service Area South،, Lahore-Islamabad Motorway, Kallar Kahar, Pakistan",Not Available,+92 308 8510057,Not Available,3.5,383
Education center,Shaheen air force,Not Available,"Ali Baba Hotel, pindi road madni chowk, Talagang, Chakwal, Punjab, Pakistan",Not Available,+92 348 5489884,Not Available,Not Available,Not Available
Not Available,Mohalla Usmania,Not Available,"Kallar Kahar, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
Convenience store,C Mart,Not Available,"M2 Service Area, Kallar Kahar North, Chakwal District, Punjab, Pakistan",Open 24 hours,Not Available,Not Available,2,3
School,Shaheen Air Force Acadmy Chakwal,Not Available,"WRHM+F9V, Mohalla Sargogra Garbi tala gang road, Chakwal, Punjab, Pakistan",Not Available,+92 317 5992757,Not Available,Not Available,Not Available
Bus stop,Murid Turning Bus Stop,Not Available,"Talagang - Chakwal Road, Mitwanan Pind, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,5,1
Club,Fly ventures” Microlight & Paraglider trikes flying club,Not Available,"Chok Dhatha Koat, Road Kalar Kahar Rd, Choa Saidan Shah, Chakwal, Punjab 48320, Pakistan",Closed ⋅ Opens 8AM,+92 311 4646373,Not Available,4.6,10
Supermarket,Shopping Mart Kallar Kahar,Not Available,"QPJ8+RJX, Unnamed Road, Kallar Kahar, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,4.4,9
School,AIR Foundation School System,Not Available,"WVW5+W9W, Ashraf Town Rd, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 8AM,+92 543 552499,Not Available,3.9,9
Airline,Turkish Airlines Islamabad City Office,Not Available,"13-N, 1st Floor, Turkish Airlines, Bhittai Rd, opposite Armani Collezioni, F-7 Markaz F 7 Markaz F-7, Islamabad, Islamabad Capital Territory 44000, Pakistan",Closed ⋅ Opens 10AM Mon,+92 51 8494949,http://www.turkishairlines.com/en-pk/,3.6,441
Public bathroom,Hascol Leisure Washrooms,Not Available,"QPJ8+QF2, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,4.3,7
Bus ticket agency,Al Mustafa Daewoo Bus Service,Not Available,"WCGJ+RHJ, Sabzi Market Rd, Talagang, Chakwal, Punjab, Pakistan",Not Available,+92 301 5002408,Not Available,5,2
Travel agency,syeds air travels,Not Available,"WVM4+4RG, Talagang Hwy, Chakwal, Punjab, Pakistan",Not Available,+92 333 5782009,Not Available,4,2
Mosque,Khadija-Tul-Kubra,Not Available,"WPHQ+G8H, Talagang Hwy, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
International airport,lslamabad International Airport,Not Available,"New Islamabad, Airport Road, Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan",Not Available,+92 51 95550211,http://www.islamabadairport.com.pk/,4.4,25666
International airport,Sialkot International Airport,Not Available,"14 km (8.7 mi) west of, Sialkot Airport Rd, Sialkot, Pakistan",Not Available,+92 52 111 742 575,https://www.sial.com.pk/,4.2,4065
Travel agency,Pak Travel Center,Not Available,"Office # 2 Ejaz Plaza, Talagang Hwy, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 9:30AM,+92 543 551229,Not Available,5,2
