Bussines Type,Bussines Name,Bussines Description,Bussines Address,Bussines Hours ,Bussines Phone ,Bussines Website ,Bussines Rating,Bussines Reviews
Gym,Star gym,Not Available,"PXCP+5GF, Mohalla Jhimpir, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Open 24 hours,+92 348 5563478,Not Available,2.5,2
Gym,Shinkyokushin Karate Second Time Class.,Not Available,"PXMV+R5X, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 5 PM,+92 340 5957435,Not Available,5,4
Gym,Relax zone beauty saloon and fittness center,Not Available,"PXCH+MXV, Kalar Kahar Rd, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 9 AM,+92 345 9828866,Not Available,Not Available,Not Available
Gym,Royal GYM,Not Available,"PVGJ+P8V, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Not Available,+92 340 5763264,Not Available,Not Available,Not Available
Gym,Tennis Court,Not Available,"J2Q8+M3W, ICI Officer Colony Rd, ICI Officers Colony Khewra, Jhelum, Punjab, Pakistan",Open 24 hours,+971 50 789 3122,Not Available,4.7,3
Gym,Badminton Court,Not Available,"PX8P+6Q7, Mateen Mohalla, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
Gym,Askari Fitness Zone,Not Available,"QPM3+63R, Akari Cadet Collage, Kacha Pakka, Kallar Kahar, Chakwal, Punjab, Pakistan",Open 24 hours,+92 334 5018743,Not Available,5,2
Gym,Wanhar Fitness Club,Not Available,"PM45+QJR, Khushab Road, Kallar Kahar, Chakwal, Punjab, Pakistan",Closed ⋅ Opens 8 AM,+92 334 4334494,Not Available,5,4
Gym,Arnold Gym Club,Not Available,"VQ66+5QF, Road, Bhaun, Chakwal, Punjab 48520, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
Gym,Chabber,Not Available,"RJJ8+V2Q, Hattar, Chakwal, Punjab, Pakistan",Not Available,+92 348 5608598,Not Available,Not Available,Not Available
Gym,Ajaz Minhas Agriculture,Not Available,"Malicks Road, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,5,1
