Bussines Type,Bussines Name,Bussines Description,Bussines Address,Bussines Hours ,Bussines Phone ,Bussines Website ,Bussines Rating,Bussines Reviews
Gym,Gymnase de Kervern,Not Available,"29190 Pleyben, France",Open now,Not Available,Not Available,4.3,12
Fitness center,L'Orange Bleue,Not Available,"ZA Penn Ar Roz, 29150 Chateaulin, France",Open ⋅ Closes 9 PM,+33 2 98 86 93 96,http://www.lorangebleue.fr/clubs/chateaulin/,4.5,66
Gym,Gymnase,Not Available,"29590 Pont-de-Buis-lès-Quimerch, France",Not Available,Not Available,Not Available,Not Available,Not Available
Boxing gym,Boxing Club De L'ouest,Not Available,"Pont Coblant, 29190 Gouézec, France",Closed ⋅ Opens 4 AM Sat,+33 2 98 52 80 00,http://boxingclubdelouests.fr/,4.8,6
Personal trainer,David Todd Fitness,Not Available,"The Fitness Studio, Kergudon Gites et Chambres d'Hotes, St Cadou, 29450 Sizun, France",Closed ⋅ Opens 6 AM Sat,+33 2 98 24 16 98,http://www.davetoddpt.co.uk/,4.8,12
Gym,Keepcool Lesneven,Not Available,"Croas ar Rod, 29260 Lesneven, France",Open ⋅ Closes 11 PM,+33 2 29 61 03 23,https://www.keepcool.fr/s/salle-de-sport-lesneven/?utm_source=campaign-gmb,4.6,135
Gym,Gymnase Hervé Mao,Not Available,"ROCADE, Parc Bihan, 29150 Chateaulin, France",Not Available,Not Available,Not Available,3.9,26
Gym,Crossfit Brest,Not Available,"1 bis Av. Baron Lacrosse, 29850 Gouesnou, France",Open ⋅ Closes 8:45 PM,+33 6 61 26 83 56,http://crossfit-brest.fr/,4.8,95
Sports club,Activ' Form' et Nature,Not Available,"Pl. Charles de Gaulle, 29190 Pleyben, France",Not Available,+33 7 56 90 36 99,http://activformetnature.com/,5,3
Gym,Keepcool Brest Guipavas,Not Available,"87 Bd Michel Briant, 29490 Guipavas, France",Open ⋅ Closes 11 PM,+33 2 98 33 98 38,https://www.keepcool.fr/s/salle-de-sport-brest-guipavas/?utm_source=campaign-gmb,4.6,102
Gym,Salle polyvalente rue de l'église,Not Available,"6 Rue de l'Église, 29150 Chateaulin, France",Not Available,Not Available,Not Available,4,2
Gym,Keepcool Brest Port,Not Available,"30 Quai de la Douane, 29200 Brest, France",Open ⋅ Closes 11 PM,+33 2 98 20 41 59,https://www.keepcool.fr/s/salle-de-sport-brest-port//?utm_source=campaign-gmb,4.7,114
Massage school,"Mathilde Yogalates - Yoga Et Ayurveda, Organisme Certifié Qualiopi",Not Available,"Ar Merdy, 29190 Pleyben, France",Closed ⋅ Opens 9 AM Mon,+33 6 17 03 43 62,https://mathildeyogalates.com/formation-aux-massages-2/,5,31
Gym,Keepcool Quimper,Not Available,"67 Rue de la Providence, 29000 Quimper, France",Open ⋅ Closes 11 PM,+33 2 29 40 28 73,https://www.keepcool.fr/s/salle-de-sport-quimper/?utm_source=campaign-gmb,4.6,105
Aquatic centre,Aqua-Forme,Not Available,"Av. du Rouillen, 29500 Ergué-Gabéric, France",Open ⋅ Closes 9:15 PM,+33 2 98 90 27 26,http://www.aqua-forme.com/,4.6,190
Gymnastics center,La Kastellin Gymnastique,Not Available,"Grand Rue, 29150 Chateaulin, France",Open 24 hours,+33 7 81 60 17 72,Not Available,Not Available,Not Available
Gym,LA GRANGE DE LESKOBET,Not Available,"Leskobet, 29550 Plomodiern, France",Not Available,+33 6 30 96 79 45,https://www.facebook.com/La-Grange-de-Leskobet-103404715165973,4.7,3
Coaching center,NOWBODY,Not Available,"27 Rue de Siam, 29200 Brest, France",Closed ⋅ Opens 9 AM Sat,+33 6 61 65 22 40,http://nowbody.fr/,5,16
Gym,terrain de pétanque,Not Available,"522G Rue de Penn ar Lenn, 29590 Saint-Ségal, France",Not Available,Not Available,Not Available,4,6
Gym,Nafaland,Not Available,"29150 Corn ar C Hoat, 29150 Cast, France",Not Available,Not Available,Not Available,5,1
Volunteer organization,Go2Sport,Not Available,"28 Rue de Kervern, 29190 Pleyben, France",Not Available,+33 6 63 43 42 80,https://go2sport.fr/sport-contact,Not Available,Not Available
Personal trainer,EVANO STEPHANIE COACHING,Not Available,"29940 La Forêt-Fouesnant, France",Closed ⋅ Opens 8:30 AM Sat,+33 6 18 11 08 62,https://www.stephanie-coaching-sportif-fouesnant.fr/,5,1
Sports club,sports Hall,Not Available,"De Parc Bihan, 29150 Chateaulin, France",Open ⋅ Closes 9 PM,+33 2 98 86 08 61,Not Available,Not Available,Not Available
Swimming pool,Piscine intercommunautaire,Not Available,"29150 Chateaulin, France",Closed ⋅ Opens 10 AM Sat,Not Available,Not Available,4.4,36
Sports club,Salle de sport,Not Available,"14 Rte du Pont de Bodivy, 29450 Sizun, France",Not Available,Not Available,Not Available,4,1
Stadium,Stade municipal,Not Available,"1 Gollen, 29450 Sizun, France",Not Available,Not Available,Not Available,4.2,6
Gym,The GYM Cape Carteret Aquatic & Wellness,Not Available,"300 Taylor Notion Rd, Cape Carteret, NC 28584",Open ⋅ Closes 8 PM,(252) 393-1000,http://www.ccaw.net/,4.6,85
